period,item,value,unit,status,formula,as_of
2026-06-30,forward_disposal_profit,-53469637.17,CNY,investment_income_not_settlement_cash,2026-06-30/forward_realized,2026-09-06T00:00:00+00:00
2026-06-30,forward_fair_value_profit,323536.79,CNY,profit_not_settlement_cash,fv_forward_asset+fv_forward_liability,2026-09-06T00:00:00+00:00
2026-06-30,wc_gap_excluding_forward_assets_and_liabilities,11887837.11,CNY,sensitivity_not_attributed_or_base_policy,remaining_wc_scope_difference+net_forward_asset_change,2026-09-06T00:00:00+00:00
2026-06-30,wc_gap_excluding_forwards_gross_receivables,-35233802.33,CNY,sensitivity_not_attributed_or_base_policy,wc_gap_excluding_forward_assets_and_liabilities-receivable_allowance_change,2026-09-06T00:00:00+00:00
TTM-2026-06-30,oci_pretax,593812255.63,CNY,reported_oci_not_settlement_cash,2025-12-31/oci_pretax+2026-06-30/oci_pretax-2025-06-30/oci_pretax,2026-09-06T00:00:00+00:00
TTM-2026-06-30,oci_reclassified,86850270.86,CNY,reported_oci_not_settlement_cash,2025-12-31/oci_reclassified+2026-06-30/oci_reclassified-2025-06-30/oci_reclassified,2026-09-06T00:00:00+00:00
TTM-2026-06-30,oci_tax,83886149.09,CNY,reported_oci_not_settlement_cash,2025-12-31/oci_tax+2026-06-30/oci_tax-2025-06-30/oci_tax,2026-09-06T00:00:00+00:00
TTM-2026-06-30,oci_parent,423075835.68,CNY,reported_oci_not_settlement_cash,2025-12-31/oci_parent+2026-06-30/oci_parent-2025-06-30/oci_parent,2026-09-06T00:00:00+00:00
TTM-2026-06-30,oci_minority,0.00,CNY,reported_oci_not_settlement_cash,2025-12-31/oci_minority+2026-06-30/oci_minority-2025-06-30/oci_minority,2026-09-06T00:00:00+00:00
TTM-2026-06-30,forward_asset_change,212179509.17,CNY,balance_change_not_settlement_cash,2025-12-31/forward_asset_change+2026-06-30/forward_asset_change-2025-06-30/forward_asset_change,2026-09-06T00:00:00+00:00
TTM-2026-06-30,forward_liability_change,-284842484.39,CNY,balance_change_not_settlement_cash,2025-12-31/forward_liability_change+2026-06-30/forward_liability_change-2025-06-30/forward_liability_change,2026-09-06T00:00:00+00:00
TTM-2026-06-30,net_forward_asset_change,497021993.56,CNY,balance_change_not_settlement_cash,2025-12-31/net_forward_asset_change+2026-06-30/net_forward_asset_change-2025-06-30/net_forward_asset_change,2026-09-06T00:00:00+00:00
TTM-2026-06-30,oci_net_pretax_minus_derivative_change,2421327.25,CNY,reported_scope_difference_not_overwritten,2025-12-31/oci_net_pretax_minus_derivative_change+2026-06-30/oci_net_pretax_minus_derivative_change-2025-06-30/oci_net_pretax_minus_derivative_change,2026-09-06T00:00:00+00:00
TTM-2026-06-30,forward_disposal_profit,-12230665.91,CNY,investment_income_not_settlement_cash,2025-12-31/forward_disposal_profit+2026-06-30/forward_disposal_profit-2025-06-30/forward_disposal_profit,2026-09-06T00:00:00+00:00
TTM-2026-06-30,forward_fair_value_profit,-7471323.56,CNY,profit_not_settlement_cash,2025-12-31/forward_fair_value_profit+2026-06-30/forward_fair_value_profit-2025-06-30/forward_fair_value_profit,2026-09-06T00:00:00+00:00
TTM-2026-06-30,wc_gap_excluding_forward_assets_and_liabilities,290346120.08,CNY,sensitivity_not_attributed_or_base_policy,2025-12-31/wc_gap_excluding_forward_assets_and_liabilities+2026-06-30/wc_gap_excluding_forward_assets_and_liabilities-2025-06-30/wc_gap_excluding_forward_assets_and_liabilities,2026-09-06T00:00:00+00:00
TTM-2026-06-30,wc_gap_excluding_forwards_gross_receivables,249231480.88,CNY,sensitivity_not_attributed_or_base_policy,2025-12-31/wc_gap_excluding_forwards_gross_receivables+2026-06-30/wc_gap_excluding_forwards_gross_receivables-2025-06-30/wc_gap_excluding_forwards_gross_receivables,2026-09-06T00:00:00+00:00
2025-06-30,derivative_settlement_cash,,CNY,missing_separate_cash_disclosure,no complete settlement cash and cashflow classification bridge in the three archived reports,2026-09-06T00:00:00+00:00
2025-12-31,derivative_settlement_cash,,CNY,missing_separate_cash_disclosure,no complete settlement cash and cashflow classification bridge in the three archived reports,2026-09-06T00:00:00+00:00
2026-06-30,derivative_settlement_cash,,CNY,missing_separate_cash_disclosure,no complete settlement cash and cashflow classification bridge in the three archived reports,2026-09-06T00:00:00+00:00
TTM-2026-06-30,derivative_settlement_cash,,CNY,missing_separate_cash_disclosure,no complete settlement cash and cashflow classification bridge in the three archived reports,2026-09-06T00:00:00+00:00
