code,field,period,period_type,unit,pdf_value,pdf_page,pdf_url,pdf_sha256,encoded_value,multiplier
300866,FN21,2025-12-31,instant,CNY,16086526642.49,108,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,16086526642.49,1
300866,FN25,2025-12-31,instant,CNY,581969620.43,108,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,581969620.43,1
300866,FN40,2025-12-31,instant,CNY,20066892453.86,108,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,20066892453.86,1
300866,FN41,2025-12-31,instant,CNY,567318259.44,109,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,567318259.44,1
300866,FN44,2025-12-31,instant,CNY,1870506566.12,109,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,1870506566.12,1
300866,FN52,2025-12-31,instant,CNY,226443613.72,109,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,226443613.72,1
300866,FN54,2025-12-31,instant,CNY,6768511512.64,109,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,6768511512.64,1
300866,FN55,2025-12-31,instant,CNY,781332000.16,109,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,781332000.16,1
300866,FN56,2025-12-31,instant,CNY,1097399801.76,109,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,1097399801.76,1
300866,FN439,2025-12-31,instant,CNY,246330560.40,109,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,24633.06,10000
300866,FN63,2025-12-31,instant,CNY,9355222427.13,109,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,9355222427.13,1
300866,FN271,2025-12-31,instant,CNY,10527603265.38,109,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,10527603265.38,1
300866,FN69,2025-12-31,instant,CNY,184066761.35,109,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,184066761.35,1
300866,FN72,2025-12-31,instant,CNY,10711670026.73,109,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,10711670026.73,1
300866,FN80,2025-12-31,ytd,CNY,52618524.62,112,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,52618524.62,1
300866,FN305,2025-12-31,ytd,CNY,52051103.68,112,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,52051103.68,1
300866,FN306,2025-12-31,ytd,CNY,41626910.34,112,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,41626910.34,1
300866,FN86,2025-12-31,ytd,CNY,2926092772.69,112,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,2926092772.69,1
300866,FN92,2025-12-31,ytd,CNY,2922473589.97,112,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,2922473589.97,1
300866,FN93,2025-12-31,ytd,CNY,305279668.74,112,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,305279668.74,1
300866,FN8,2026-06-30,instant,CNY,3803700574.91,57,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,3803700574.91,1
300866,FN11,2026-06-30,instant,CNY,2500613129.44,57,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,2500613129.44,1
300866,FN17,2026-06-30,instant,CNY,6733783995.03,57,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,6733783995.03,1
300866,FN21,2026-06-30,instant,CNY,18104480755.26,57,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,18104480755.26,1
300866,FN25,2026-06-30,instant,CNY,556090434.30,57,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,556090434.30,1
300866,FN40,2026-06-30,instant,CNY,22420155727.09,57,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,22420155727.09,1
300866,FN41,2026-06-30,instant,CNY,730723241.22,58,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,730723241.22,1
300866,FN44,2026-06-30,instant,CNY,2822354036.84,58,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,2822354036.84,1
300866,FN52,2026-06-30,instant,CNY,233506458.05,58,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,233506458.05,1
300866,FN54,2026-06-30,instant,CNY,8092648945.92,58,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,8092648945.92,1
300866,FN55,2026-06-30,instant,CNY,714162621.09,58,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,714162621.09,1
300866,FN56,2026-06-30,instant,CNY,1108968087.40,58,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1108968087.40,1
300866,FN439,2026-06-30,instant,CNY,279555364.95,58,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,27955.54,10000
