period,item,value,unit,status,formula,as_of
2026-06-30,total_tax_expense,330304038.64,CNY,not_operating_tax_allocation,current_tax+deferred_tax=sum(tax reconciliation),2026-09-06T00:00:00+00:00
TTM-2026-06-30,disclosed_base_minus_15pct_reference,-0.87,CNY,reported_difference_not_overwritten,2025-12-31/disclosed_base_minus_15pct_reference+2026-06-30/disclosed_base_minus_15pct_reference-2025-06-30/disclosed_base_minus_15pct_reference,2026-09-06T00:00:00+00:00
TTM-2026-06-30,tax_base,559651171.97,CNY,disclosed_tax_not_cash_paid,2025-12-31/tax_base+2026-06-30/tax_base-2025-06-30/tax_base,2026-09-06T00:00:00+00:00
TTM-2026-06-30,tax_subsidiary_rates,281052518.61,CNY,disclosed_tax_not_cash_paid,2025-12-31/tax_subsidiary_rates+2026-06-30/tax_subsidiary_rates-2025-06-30/tax_subsidiary_rates,2026-09-06T00:00:00+00:00
TTM-2026-06-30,tax_prior_periods,-26585883.07,CNY,disclosed_tax_not_cash_paid,2025-12-31/tax_prior_periods+2026-06-30/tax_prior_periods-2025-06-30/tax_prior_periods,2026-09-06T00:00:00+00:00
TTM-2026-06-30,tax_nontaxable,-8485356.07,CNY,disclosed_tax_not_cash_paid,2025-12-31/tax_nontaxable+2026-06-30/tax_nontaxable-2025-06-30/tax_nontaxable,2026-09-06T00:00:00+00:00
TTM-2026-06-30,tax_nondeductible,6901740.57,CNY,disclosed_tax_not_cash_paid,2025-12-31/tax_nondeductible+2026-06-30/tax_nondeductible-2025-06-30/tax_nondeductible,2026-09-06T00:00:00+00:00
TTM-2026-06-30,tax_prior_losses,-6188271.32,CNY,disclosed_tax_not_cash_paid,2025-12-31/tax_prior_losses+2026-06-30/tax_prior_losses-2025-06-30/tax_prior_losses,2026-09-06T00:00:00+00:00
TTM-2026-06-30,tax_unrecognized_losses,64498586.17,CNY,disclosed_tax_not_cash_paid,2025-12-31/tax_unrecognized_losses+2026-06-30/tax_unrecognized_losses-2025-06-30/tax_unrecognized_losses,2026-09-06T00:00:00+00:00
TTM-2026-06-30,tax_rd_deduction,-335565345.05,CNY,disclosed_tax_not_cash_paid,2025-12-31/tax_rd_deduction+2026-06-30/tax_rd_deduction-2025-06-30/tax_rd_deduction,2026-09-06T00:00:00+00:00
TTM-2026-06-30,current_tax,595361457.59,CNY,disclosed_tax_not_cash_paid,2025-12-31/current_tax+2026-06-30/current_tax-2025-06-30/current_tax,2026-09-06T00:00:00+00:00
TTM-2026-06-30,deferred_tax,-60082295.78,CNY,disclosed_tax_not_cash_paid,2025-12-31/deferred_tax+2026-06-30/deferred_tax-2025-06-30/deferred_tax,2026-09-06T00:00:00+00:00
TTM-2026-06-30,total_tax_expense,535279161.81,CNY,not_operating_tax_allocation,2025-12-31/total_tax_expense+2026-06-30/total_tax_expense-2025-06-30/total_tax_expense,2026-09-06T00:00:00+00:00
