period,item,value,unit,status,formula,as_of
2026-06-30,cf_net_income,1744822270.00,CNY,policy_defined,1*2026-06-30/cf_net_income,2026-09-06T00:00:00+00:00
2026-06-30,cf_asset_impairment,443702968.63,CNY,policy_defined,1*2026-06-30/cf_asset_impairment,2026-09-06T00:00:00+00:00
2026-06-30,cf_credit_impairment,52076770.08,CNY,policy_defined,1*2026-06-30/cf_credit_impairment,2026-09-06T00:00:00+00:00
2026-06-30,cf_property_depreciation,448495.08,CNY,policy_defined,1*2026-06-30/cf_property_depreciation,2026-09-06T00:00:00+00:00
2026-06-30,cf_fixed_depreciation,76601281.11,CNY,policy_defined,1*2026-06-30/cf_fixed_depreciation,2026-09-06T00:00:00+00:00
2026-06-30,cf_rou_depreciation,51583863.30,CNY,policy_defined,1*2026-06-30/cf_rou_depreciation,2026-09-06T00:00:00+00:00
2026-06-30,cf_intangible_amortization,3774158.28,CNY,policy_defined,1*2026-06-30/cf_intangible_amortization,2026-09-06T00:00:00+00:00
2026-06-30,cf_deferred_amortization,11366821.05,CNY,policy_defined,1*2026-06-30/cf_deferred_amortization,2026-09-06T00:00:00+00:00
2026-06-30,cf_disposal_loss,-29519.17,CNY,policy_defined,1*2026-06-30/cf_disposal_loss,2026-09-06T00:00:00+00:00
2026-06-30,cf_retirement_loss,164414.24,CNY,policy_defined,1*2026-06-30/cf_retirement_loss,2026-09-06T00:00:00+00:00
2026-06-30,cf_fair_value,-271472471.32,CNY,policy_defined,1*2026-06-30/cf_fair_value,2026-09-06T00:00:00+00:00
2026-06-30,cf_finance,32364349.61,CNY,policy_defined,1*2026-06-30/cf_finance,2026-09-06T00:00:00+00:00
2026-06-30,cf_investment,-26592133.02,CNY,policy_defined,1*2026-06-30/cf_investment,2026-09-06T00:00:00+00:00
2026-06-30,cf_deferred_tax_assets,-205820040.83,CNY,policy_defined,1*2026-06-30/cf_deferred_tax_assets,2026-09-06T00:00:00+00:00
2026-06-30,cf_deferred_tax_liabilities,21243719.88,CNY,policy_defined,1*2026-06-30/cf_deferred_tax_liabilities,2026-09-06T00:00:00+00:00
2026-06-30,cf_inventory,-1815371020.88,CNY,policy_defined,1*2026-06-30/cf_inventory,2026-09-06T00:00:00+00:00
2026-06-30,cf_receivables,-674162259.27,CNY,policy_defined,1*2026-06-30/cf_receivables,2026-09-06T00:00:00+00:00
2026-06-30,cf_payables,1223306349.55,CNY,policy_defined,1*2026-06-30/cf_payables,2026-09-06T00:00:00+00:00
2026-06-30,cf_share_payment,54521378.69,CNY,policy_defined,1*2026-06-30/cf_share_payment,2026-09-06T00:00:00+00:00
2026-06-30,operating_cash_flow,722529395.01,CNY,statement_reconciled_not_fcff,sum(signed reconciliation rows)=statement cash_in-cash_out,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_net_income,3195728657.08,CNY,statement_reconciled_not_fcff,2025-12-31/cf_net_income+2026-06-30/cf_net_income-2025-06-30/cf_net_income,2026-09-06T00:00:00+00:00
