id,period,kind,key,pdf_id,pdf_page,section,end_section,label,occurrence,column,printed,value,provider_field
2025-06-30/other_income,2025-06-30,ytd,other_income,1224614835,71,3、合并利润表,4、母公司利润表,加：其他收益,0,0,"21,912,450.16",21912450.16,
2025-06-30/investment_income,2025-06-30,ytd,investment_income,1224614835,71,3、合并利润表,4、母公司利润表,投资收益,0,0,"154,801,474.62",154801474.62,
2025-06-30/fair_value_income,2025-06-30,ytd,fair_value_income,1224614835,71,3、合并利润表,4、母公司利润表,公允价值变动收益,0,0,"74,006,252.42",74006252.42,
2025-06-30/credit_impairment,2025-06-30,ytd,credit_impairment,1224614835,71,3、合并利润表,4、母公司利润表,信用减值损失,0,0,"-40,541,084.49",-40541084.49,
2025-06-30/asset_impairment,2025-06-30,ytd,asset_impairment,1224614835,71,3、合并利润表,4、母公司利润表,资产减值损失,0,0,"-237,522,795.77",-237522795.77,
2025-06-30/disposal_income,2025-06-30,ytd,disposal_income,1224614835,71,3、合并利润表,4、母公司利润表,资产处置收益,0,0,"296,433.79",296433.79,
2025-06-30/operating_profit,2025-06-30,ytd,operating_profit,1224614835,71,3、合并利润表,4、母公司利润表,三、营业利润,0,0,"1,266,951,389.89",1266951389.89,FN86
2025-06-30/nonoperating_income,2025-06-30,ytd,nonoperating_income,1224614835,71,3、合并利润表,4、母公司利润表,加：营业外收入,0,0,"3,612,848.10",3612848.10,
2025-06-30/nonoperating_expense,2025-06-30,ytd,nonoperating_expense,1224614835,71,3、合并利润表,4、母公司利润表,减：营业外支出,0,0,"3,972,158.27",3972158.27,
2025-06-30/pbt,2025-06-30,ytd,pbt,1224614835,71,3、合并利润表,4、母公司利润表,四、利润总额,0,0,"1,266,592,079.72",1266592079.72,FN92
2025-06-30/tax_expense,2025-06-30,ytd,tax_expense,1224614835,71,3、合并利润表,4、母公司利润表,减：所得税费用,0,0,"100,304,545.57",100304545.57,FN93
2025-06-30/net_income,2025-06-30,ytd,net_income,1224614835,71,3、合并利润表,4、母公司利润表,五、净利润,0,0,"1,166,287,534.15",1166287534.15,
2025-06-30/current_loans,2025-06-30,instant,current_loans,1224614835,133,29、一年内到期的非流动负债,30、其他流动负债,一年内到期的长期借款,0,0,"143,318,543.02",143318543.02,
2025-06-30/current_bonds,2025-06-30,instant,current_bonds,1224614835,133,29、一年内到期的非流动负债,30、其他流动负债,一年内到期的应付债券,0,0,"84,986.15",84986.15,
2025-06-30/current_leases,2025-06-30,instant,current_leases,1224614835,133,29、一年内到期的非流动负债,30、其他流动负债,一年内到期的租赁负债,0,0,"55,064,650.56",55064650.56,
2025-06-30/all_long_debt,2025-06-30,instant,all_long_debt,1224614835,133,31、长期借款,32、应付债券,小计,0,0,"995,989,668.14",995989668.14,
2025-06-30/all_bonds,2025-06-30,instant,all_bonds,1224614835,134,32、应付债券,33、租赁负债,可转换公司债券,0,0,"1,085,952,914.21",1085952914.21,
2025-06-30/all_leases,2025-06-30,instant,all_leases,1224614835,135,33、租赁负债,34、长期应付职工薪酬,长期租赁负债,0,0,"208,336,380.52",208336380.52,
2025-06-30/deposits,2025-06-30,instant,deposits,1224614835,117,8、其他流动资产,9、长期股权投资,银行定期存单,0,0,"1,354,928,010.31",1354928010.31,
2025-06-30/loan_receivable,2025-06-30,instant,loan_receivable,1224614835,113,6、其他应收款,7、存货,关联方借款,0,0,"19,223,003.00",19223003.00,
2025-06-30/income_tax_payable,2025-06-30,instant,income_tax_payable,1224614835,132,27、应交税费,28、其他应付款,企业所得税,0,0,"342,410,144.85",342410144.85,
2025-06-30/trading_forward_asset,2025-06-30,instant,trading_forward_asset,1224614835,108,2、交易性金融资产,3、衍生金融资产,未到期远汇合约,0,0,"15,766,091.02",15766091.02,
