year,life_years,assumed_tax_rate,opening_research_asset,closing_research_asset,research_amortization,ebit_and_reinvestment_adjustment,adjusted_ebit,unchanged_modelled_tax,adjusted_nopat,adjusted_identified_net_investment,subtotal_before_wc_and_other_adjustments,fcff,unit,status,policy,as_of
2025,5,0.15,4312668953.906000,6015732848.322000,1189721559.384000,1703063894.416000,4343992952.926000,396139358.780000,3947853594.146000,2185922550.006000,1761931044.140000,,CNY,illustrative_reclassification_tax_unchanged_not_fcff,five-year straight-line from following year; base model tax unchanged; no additional R&D tax benefit or OCI adjustment,2026-09-06T00:00:00+00:00
2025,5,0.20,4312668953.906000,6015732848.322000,1189721559.384000,1703063894.416000,4343992952.926000,528185811.700000,3815807141.226000,2185922550.006000,1629884591.220000,,CNY,illustrative_reclassification_tax_unchanged_not_fcff,five-year straight-line from following year; base model tax unchanged; no additional R&D tax benefit or OCI adjustment,2026-09-06T00:00:00+00:00
2025,5,0.25,4312668953.906000,6015732848.322000,1189721559.384000,1703063894.416000,4343992952.926000,660232264.630000,3683760688.296000,2185922550.006000,1497838138.290000,,CNY,illustrative_reclassification_tax_unchanged_not_fcff,five-year straight-line from following year; base model tax unchanged; no additional R&D tax benefit or OCI adjustment,2026-09-06T00:00:00+00:00
