vintage,analysis_year,life_years,rd_expense,opening_asset,addition,amortization,closing_asset,unit,source,status,as_of
2020,2025,5,567402295.090000,113480459.018000,0.000000,113480459.018000,0.000000,CNY,2020/rd_expense,illustrative_model_asset_not_reported,2026-09-06T00:00:00+00:00
2021,2025,5,778430652.220000,311372260.888000,0.000000,155686130.444000,155686130.444000,CNY,2021/rd_expense,illustrative_model_asset_not_reported,2026-09-06T00:00:00+00:00
2022,2025,5,1080462829.880000,648277697.928000,0.000000,216092565.976000,432185131.952000,CNY,2022/rd_expense,illustrative_model_asset_not_reported,2026-09-06T00:00:00+00:00
2023,2025,5,1413867418.290000,1131093934.632000,0.000000,282773483.658000,848320450.974000,CNY,2023/rd_expense,illustrative_model_asset_not_reported,2026-09-06T00:00:00+00:00
2024,2025,5,2108444601.440000,2108444601.440000,0.000000,421688920.288000,1686755681.152000,CNY,2024/rd_expense,illustrative_model_asset_not_reported,2026-09-06T00:00:00+00:00
2025,2025,5,2892785453.800000,0.000000,2892785453.800000,0.000000,2892785453.800000,CNY,2025/rd_expense,illustrative_model_asset_not_reported,2026-09-06T00:00:00+00:00
