period,financial_gross,external_deposits,financial_net_before_other_claims,risk_investments,lease_debt,inventory,wc_proxy,other_wc_proxy,shares,status,information_as_of
2025-12-31,192700729932.78,18038383776.30,174662346156.48,4252323466.89,233711179.82,61427421796.18,37626021552.32,-23801400243.86,1252270215.00,consolidated_financial_pool_not_distributable_cash_or_complete_segment_split,2026-09-06T00:00:00+00:00
2026-06-30,200745434560.40,25426316668.17,175319117892.23,4064709362.91,243684868.06,61317208371.30,45664484260.10,-15652724111.20,1250081601.00,consolidated_financial_pool_not_distributable_cash_or_complete_segment_split,2026-09-06T00:00:00+00:00
