old_code,new_code,source_name,source_listing_date,switch_date
872808,920808,曙光数创,2022/11/18,2025-10-09
870357,920357,雅葆轩,2022/11/18,2025-10-09
873339,920339,恒太照明,2022/11/17,2025-10-09
833914,920914,远航精密,2022/11/11,2025-10-09
832876,920876,慧为智能,2022/11/9,2025-10-09
871753,920753,天纺标,2022/10/31,2025-10-09
430139,920139,华岭股份,2022/10/28,2025-10-09
873527,920527,夜光明,2022/10/27,2025-10-09
835892,920992,中科美菱,2022/10/18,2025-10-09
430476,920476,海能技术,2022/10/14,2025-10-09
837046,920046,亿能电力,2022/10/13,2025-10-09
430685,920685,新芝生物,2022/10/10,2025-10-09
838402,920402,硅烷科技,2022/9/28,2025-10-09
838971,920971,天马新材,2022/9/27,2025-10-09
873122,920122,中纺标,2022/9/27,2025-10-09
835207,920207,众诚科技,2022/9/23,2025-10-09
839790,920790,联迪信息,2022/9/2,2025-10-09
836270,920270,天铭科技,2022/9/2,2025-10-09
836395,920395,朗鸿科技,2022/9/1,2025-10-09
831152,920152,昆工科技,2022/9/1,2025-10-09
831834,920834,三维装备,2022/8/22,2025-10-09
835985,920985,海泰新能,2022/8/8,2025-10-09
836871,920871,派特尔,2022/7/22,2025-10-09
839725,920725,惠丰钻石,2022/7/18,2025-10-09
834062,920062,科润智控,2022/7/13,2025-10-09
834639,920639,晨光电缆,2022/7/12,2025-10-09
837821,920821,则成电子,2022/7/6,2025-10-09
838670,920870,恒进感应,2022/7/5,2025-10-09
833943,920943,优机股份,2022/6/24,2025-10-09
831278,920378,泰德股份,2022/6/20,2025-10-09
430564,920564,天润科技,2022/6/17,2025-10-09
832491,920491,奥迪威,2022/6/14,2025-10-09
870299,920299,灿能电力,2022/6/10,2025-10-09
873223,920223,荣亿精密,2022/6/9,2025-10-09
838171,920271,邦德股份,2022/6/2,2025-10-09
831167,920267,鑫汇科,2022/5/27,2025-10-09
833533,920533,骏创科技,2022/5/24,2025-10-09
871970,920970,大禹生物,2022/5/18,2025-10-09
833580,920580,科创新材,2022/5/13,2025-10-09
