code,period,field,canonical_field,period_type,statement_scope,unit,value,bits,multiplier,artifact_sha256,announcement_id,available_at
300866,2025-03-31,FN305,interest_expense,Q1,provider_default,CNY,11083160.0000000000,1260985752,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN306,interest_income,Q1,provider_default,CNY,11716549.0000000000,1261619141,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN33,intangible_assets_net,instant,provider_default,CNY,37554104.0000000000,1276068334,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN37,deferred_tax_assets,instant,provider_default,CNY,622624512.0000000000,1309962748,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN40,total_assets,instant,provider_default,CNY,17305737216.0000000000,1350627347,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN41,short_term_borrowings,instant,provider_default,CNY,400568960.0000000000,1304363412,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN433,other_noncurrent_financial_assets,instant,provider_default,CNY,1259914062.5000000000,1207309236,10000,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN434,contract_liabilities,instant,provider_default,CNY,180598496.0937500000,1183651763,10000,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN439,lease_liabilities,instant,provider_default,CNY,110399101.5625000000,1177321380,10000,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN44,accounts_payable,instant,provider_default,CNY,2078543616.0000000000,1324861470,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN46,payroll_payable,instant,provider_default,CNY,1228383616.0000000000,1318219595,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN47,taxes_payable,instant,provider_default,CNY,389348992.0000000000,1304012788,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN50,other_payables,instant,provider_default,CNY,731779328.0000000000,1311668292,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN52,current_portion_noncurrent_liabilities,instant,provider_default,CNY,201017168.0000000000,1296020597,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN520,credit_impairment_income,Q1,provider_default,CNY,-5761900.0244140625,3289386025,10000,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN53,other_current_liabilities,instant,provider_default,CNY,223769296.0000000000,1297442605,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN54,current_liabilities,instant,provider_default,CNY,6048096768.0000000000,1337212753,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN55,long_term_borrowings,instant,provider_default,CNY,889713344.0000000000,1314136011,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN56,bonds_payable,instant,provider_default,CNY,0.0000000000,0,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN59,provisions,instant,provider_default,CNY,182384080.0000000000,1294856029,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN60,deferred_tax_liabilities,instant,provider_default,CNY,159720576.0000000000,1293439560,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN63,total_liabilities,instant,provider_default,CNY,7728342016.0000000000,1340494482,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN69,noncontrolling_interests,instant,provider_default,CNY,217241984.0000000000,1297034648,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN72,total_equity,instant,provider_default,CNY,9577395200.0000000000,1343141597,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN8,monetary_funds,instant,provider_default,CNY,2305929216.0000000000,1326018992,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN80,finance_costs,Q1,provider_default,CNY,-22816334.0000000000,3417183015,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN82,fair_value_change_income,Q1,provider_default,CNY,-5900508.5000000000,3400798649,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN83,investment_income,Q1,provider_default,CNY,74936104.0000000000,1284435429,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN86,operating_profit_cumulative,Q1,provider_default,CNY,579543744.0000000000,1309289611,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN9,trading_financial_assets,instant,provider_default,CNY,2316038400.0000000000,1326058481,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN92,profit_before_tax,Q1,provider_default,CNY,580739264.0000000000,1309308291,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN93,income_tax_expense,Q1,provider_default,CNY,56422888.0000000000,1280785530,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN95,net_income_ytd,Q1,provider_default,CNY,524316384.0000000000,1308230519,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN96,net_income_parent_ytd,Q1,provider_default,CNY,495761216.0000000000,1307338170,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN97,net_income_minority_ytd,Q1,provider_default,CNY,28555188.0000000000,1272568794,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-03-31,FN99,tax_refunds_received,Q1,provider_default,CNY,404951424.0000000000,1304500364,1,56885ad712a789da14cb9b884d93453f5df1bd8cd645a9a079f73108a154b2e8,1223379835,2025-04-29 16:00:00+00
300866,2025-06-30,FN104,taxes_paid,H1,provider_default,CNY,880267904.0000000000,1313988426,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN11,accounts_receivable,instant,provider_default,CNY,1825583104.0000000000,1322885216,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN114,capital_expenditure_cash,H1,provider_default,CNY,162970288.0000000000,1293642667,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN12,prepayments,instant,provider_default,CNY,63378488.0000000000,1282524430,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN13,other_receivables,instant,provider_default,CNY,143660080.0000000000,1292435779,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN133,cash_and_cash_equivalents,instant,provider_default,CNY,2728369920.0000000000,1327669151,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN136,depreciation_depletion,H1,provider_default,CNY,25956666.0000000000,1271269533,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN137,intangible_amortization,H1,provider_default,CNY,2747529.7500000000,1244115495,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN138,deferred_expense_amortization,H1,provider_default,CNY,7048789.0000000000,1255611562,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN146,inventory_decrease_cashflow,H1,provider_default,CNY,-2174526976.0000000000,3472989350,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN147,operating_receivables_decrease_cashflow,H1,provider_default,CNY,-295803712.0000000000,3448573146,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN148,operating_payables_increase_cashflow,H1,provider_default,CNY,213792432.0000000000,1296819051,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN17,inventories,instant,provider_default,CNY,5294658560.0000000000,1335741194,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN20,other_current_assets,instant,provider_default,CNY,2106621952.0000000000,1325080832,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN21,current_assets,instant,provider_default,CNY,14040450048.0000000000,1347500049,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN230,revenue,Q2,provider_default,CNY,6873381888.0000000000,1338824638,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN231,operating_profit,Q2,provider_default,CNY,687407616.0000000000,1310974984,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN232,net_income_parent,Q2,provider_default,CNY,671155648.0000000000,1310721047,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN233,adjusted_net_income,Q2,provider_default,CNY,521847392.0000000000,1308153363,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN234,operating_cash_flow,Q2,provider_default,CNY,-844563968.0000000000,3460914200,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN235,investing_cash_flow,Q2,provider_default,CNY,1026082496.0000000000,1316266779,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN236,financing_cash_flow,Q2,provider_default,CNY,499723584.0000000000,1307461994,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN237,net_cash_increase,Q2,provider_default,CNY,624179840.0000000000,1309987050,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN238,total_shares,H1,provider_default,share,531538208.0000000000,1308456201,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN25,long_term_equity_investments,instant,provider_default,CNY,584059264.0000000000,1309360166,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN27,fixed_assets_net,instant,provider_default,CNY,160202288.0000000000,1293469667,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN271,equity_parent,instant,provider_default,CNY,9137006592.0000000000,1342711530,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN28,construction_in_progress,instant,provider_default,CNY,1560788224.0000000000,1320816506,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN299,other_equity_instruments,instant,provider_default,CNY,4495446.0000000000,1250504876,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN301,asset_disposal_income,H1,provider_default,CNY,296433.7812500000,1217445433,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN304,research_and_development_expense,H1,provider_default,CNY,1194561024.0000000000,1317955356,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN305,interest_expense,H1,provider_default,CNY,20461700.0000000000,1268522050,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN306,interest_income,H1,provider_default,CNY,17845980.0000000000,1267214190,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN33,intangible_assets_net,instant,provider_default,CNY,38017288.0000000000,1276184130,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN37,deferred_tax_assets,instant,provider_default,CNY,657316352.0000000000,1310504808,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN40,total_assets,instant,provider_default,CNY,18672207872.0000000000,1351294569,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN41,short_term_borrowings,instant,provider_default,CNY,668730880.0000000000,1310683160,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN433,other_noncurrent_financial_assets,instant,provider_default,CNY,1265635468.7500000000,1207382470,10000,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN434,contract_liabilities,instant,provider_default,CNY,198295097.6562500000,1184557829,10000,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN439,lease_liabilities,instant,provider_default,CNY,153271699.2187500000,1181711534,10000,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
300866,2025-06-30,FN44,accounts_payable,instant,provider_default,CNY,2293993216.0000000000,1325972367,1,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb,1224614835,2025-08-29 16:00:00+00
