code,scenario,item,value,information_as_of,valuation_date,status
300866,cautious,operating_enterprise_value,23128316402.550530,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,excess_cash,1964677524.480000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,financial_assets_after_haircut,3711117721.470000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,debt_claim_proxy,-3373607380.742500,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,minority_claim_proxy,-322500096.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,convertible_option_book_proxy,-4494798.360000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,existing_other_claims,-873696826.440000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,operating_enterprise_value,51080274859.911027,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,excess_cash,2621547073.265000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,financial_assets_after_haircut,4218559217.790000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,debt_claim_proxy,-3066915800.675000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,minority_claim_proxy,-241875072.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,convertible_option_book_proxy,-4494798.360000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,existing_other_claims,-873696826.440000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,expansive,operating_enterprise_value,106681479707.662883,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,expansive,excess_cash,3278416622.050000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,expansive,financial_assets_after_haircut,4726000714.110000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,expansive,debt_claim_proxy,-3066915800.675000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,expansive,minority_claim_proxy,-161250048.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,expansive,convertible_option_book_proxy,-4494798.360000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,expansive,existing_other_claims,-873696826.440000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
